iter	Passed	Remaining
0	0	40
1	0	46
2	1	42
3	1	37
4	1	35
5	2	34
6	2	32
7	2	31
8	2	30
9	3	29
10	3	29
11	3	29
12	4	28
13	5	32
14	5	31
15	5	31
16	6	30
17	6	30
18	7	30
19	7	29
20	7	29
21	8	28
22	8	28
23	8	27
24	9	27
25	9	26
26	9	26
27	10	25
28	10	25
29	10	24
30	10	24
31	11	24
32	12	24
33	12	24
34	12	23
35	13	23
36	13	22
37	13	22
38	14	22
39	14	21
40	15	21
41	15	21
42	15	20
43	16	20
44	16	20
45	16	19
46	17	19
47	17	19
48	18	18
49	18	18
50	18	18
51	19	17
52	19	17
53	19	16
54	20	16
55	20	16
56	20	15
57	21	15
58	21	15
59	22	14
60	22	14
61	22	14
62	23	13
63	23	13
64	24	12
65	24	12
66	24	12
67	25	11
68	25	11
69	26	11
70	26	10
71	27	10
72	27	10
73	27	9
74	28	9
75	28	9
76	29	8
77	29	8
78	29	7
79	30	7
80	30	7
81	30	6
82	31	6
83	31	6
84	32	5
85	32	5
86	33	4
87	33	4
88	34	4
89	34	3
90	34	3
91	35	3
92	35	2
93	36	2
94	37	1
95	37	1
96	38	1
97	38	0
98	38	0
99	39	0
