iter	Passed	Remaining
0	57	57713
1	58	29006
2	58	19463
3	59	14691
4	59	11809
5	59	9919
6	60	8537
7	60	7520
8	61	6721
9	61	6101
10	62	5584
11	62	5141
12	62	4765
13	63	4439
14	63	4163
15	63	3917
16	64	3704
17	64	3513
18	65	3356
19	65	3203
20	65	3065
21	66	2942
22	66	2828
23	66	2720
24	67	2629
25	67	2537
26	68	2455
27	68	2379
28	68	2307
29	69	2247
30	69	2186
31	70	2128
32	70	2071
33	71	2021
34	71	1974
35	72	1932
36	72	1887
37	73	1850
38	73	1812
39	74	1797
40	75	1761
41	75	1724
42	76	1692
43	76	1658
44	76	1625
45	77	1597
46	77	1581
47	78	1552
48	78	1526
49	78	1499
50	79	1474
51	79	1450
52	79	1427
53	80	1406
54	80	1384
55	80	1363
56	81	1348
57	82	1333
58	82	1316
59	83	1302
60	83	1284
61	83	1266
62	84	1253
63	84	1237
64	84	1221
65	85	1208
66	85	1193
67	86	1182
68	86	1167
69	86	1153
70	87	1141
71	87	1128
72	88	1118
73	88	1107
74	88	1096
75	89	1083
76	89	1072
77	89	1061
78	90	1051
79	90	1040
80	90	1030
81	91	1020
82	91	1008
83	91	1000
84	92	990
85	92	981
86	92	972
87	92	963
88	93	958
89	93	949
90	94	941
91	94	932
92	95	927
93	95	919
94	95	911
95	95	903
96	96	896
97	96	889
98	97	883
99	97	877
100	97	871
101	98	864
102	98	858
103	98	852
104	99	847
105	99	841
106	100	836
107	100	833
108	101	827
109	101	823
110	102	817
111	102	812
112	102	807
113	103	803
114	103	799
115	104	794
116	104	789
117	104	784
118	105	780
119	105	775
120	106	770
121	106	766
122	107	762
123	107	758
124	107	754
125	108	751
126	108	747
127	109	742
128	109	738
129	109	734
130	110	730
131	110	728
132	111	725
133	111	722
134	112	719
135	112	716
136	113	712
137	113	709
138	114	707
139	114	704
140	114	700
141	115	696
142	115	693
143	116	691
144	116	687
145	117	684
146	117	681
147	117	677
148	118	674
149	118	670
150	118	667
151	119	664
152	119	661
153	119	658
154	120	654
155	120	651
156	120	649
157	121	646
158	121	643
159	121	640
160	122	636
161	122	633
162	122	631
163	123	628
164	123	625
165	123	622
166	124	620
167	124	618
168	125	617
169	125	614
170	126	612
171	126	609
172	126	607
173	127	604
174	127	601
175	127	599
176	128	598
177	129	596
178	129	594
179	129	592
180	130	590
181	130	588
182	131	586
183	131	584
184	132	582
185	132	579
186	133	578
187	133	575
188	133	573
189	134	571
190	134	569
191	134	567
192	135	564
193	135	563
194	136	562
195	136	560
196	137	559
197	137	556
198	137	554
199	138	553
200	138	552
201	139	550
202	139	548
203	140	546
204	140	544
205	140	542
206	141	540
207	141	538
208	141	536
209	142	534
210	142	532
211	142	530
212	143	528
213	143	526
214	143	525
215	144	523
216	144	522
217	145	520
218	145	518
219	145	516
220	146	515
221	146	513
222	146	511
223	147	509
224	147	508
225	147	506
226	148	504
227	148	503
228	148	501
229	149	499
230	149	498
231	149	496
232	150	495
233	150	494
234	151	492
235	151	491
236	152	490
237	152	488
238	153	487
239	153	486
240	154	485
241	154	483
242	154	481
243	155	480
244	155	479
245	156	478
246	156	476
247	156	475
248	157	473
249	157	472
250	157	471
251	158	469
252	158	468
253	159	467
254	159	466
255	160	465
256	160	463
257	160	462
258	161	460
259	161	459
260	161	458
261	162	457
262	162	455
263	163	455
264	163	454
265	164	452
266	164	451
267	164	450
268	165	449
269	165	447
270	165	446
271	166	445
272	166	443
273	167	442
274	167	441
275	167	440
276	168	439
277	168	438
278	169	436
279	169	435
280	169	434
281	170	433
282	170	432
283	171	431
284	171	430
285	171	429
286	172	428
287	172	426
288	173	425
289	173	424
290	173	423
291	174	422
292	174	421
293	175	420
294	175	419
295	175	418
296	176	417
297	177	417
298	177	416
299	177	415
300	178	413
301	178	412
302	178	411
303	179	410
304	179	408
305	179	408
306	180	407
307	180	406
308	181	404
309	181	404
310	181	403
311	182	402
312	182	401
313	183	400
314	183	399
315	184	398
316	184	397
317	184	396
318	185	395
319	185	394
320	186	393
321	186	393
322	187	392
323	187	391
324	188	390
325	188	389
326	189	389
327	189	388
328	190	387
329	190	386
330	190	385
331	191	384
332	191	384
333	192	383
334	192	382
335	193	381
336	193	380
337	194	380
338	194	379
339	194	378
340	195	377
341	196	377
342	196	376
343	197	375
344	197	374
345	198	374
346	198	373
347	198	372
348	199	371
349	200	371
350	200	370
351	200	369
352	201	369
353	201	368
354	202	367
355	202	366
356	203	365
357	203	364
358	203	363
359	204	362
360	204	362
361	205	361
362	205	360
363	206	360
364	206	359
365	207	358
366	207	358
367	208	357
368	208	356
369	208	355
370	209	354
371	209	353
372	210	353
373	210	352
374	210	351
375	211	350
376	211	350
377	212	349
378	212	348
379	213	347
380	213	347
381	214	346
382	215	346
383	215	345
384	216	345
385	216	344
386	217	344
387	217	343
388	218	342
389	218	342
390	219	341
391	219	340
392	220	339
393	220	339
394	220	338
395	221	337
396	222	337
397	222	336
398	222	335
399	223	334
400	223	334
401	224	333
402	224	332
403	225	332
404	225	331
405	226	330
406	226	330
407	227	329
408	227	328
409	227	328
410	228	327
411	228	326
412	229	325
413	229	325
414	230	324
415	230	323
416	230	322
417	231	322
418	231	321
419	231	320
420	232	319
421	232	318
422	233	318
423	233	317
424	234	317
425	235	316
426	235	316
427	236	315
428	236	315
429	237	314
430	237	313
431	237	312
432	238	312
433	238	311
434	239	310
435	239	310
436	240	309
437	240	309
438	241	308
439	241	307
440	241	306
441	242	306
442	242	305
443	243	304
444	243	304
445	244	303
446	244	302
447	245	302
448	245	301
449	246	300
450	246	300
451	247	299
452	247	299
453	248	298
454	248	298
455	249	297
456	249	296
457	250	296
458	250	295
459	250	294
460	251	293
461	251	293
462	252	292
463	252	291
464	252	290
465	253	290
466	253	289
467	254	288
468	254	288
469	254	287
470	255	286
471	255	286
472	255	285
473	256	284
474	256	283
475	257	282
476	257	282
477	257	281
478	258	280
479	258	280
480	259	279
481	259	278
482	259	278
483	260	277
484	260	276
485	261	276
486	261	275
487	262	275
488	262	274
489	263	274
490	263	273
491	263	272
492	264	271
493	264	270
494	265	270
495	265	269
496	266	269
497	266	268
498	267	268
499	267	267
500	268	266
501	268	266
502	268	265
503	269	265
504	269	264
505	270	263
506	270	263
507	271	262
508	272	262
509	272	261
510	273	261
511	273	260
512	274	260
513	274	259
514	274	258
515	275	258
516	276	257
517	276	257
518	277	256
519	277	256
520	277	255
521	278	254
522	279	254
523	279	253
524	279	253
525	280	252
526	280	252
527	281	251
528	282	251
529	282	250
530	283	250
531	283	249
532	284	248
533	284	248
534	284	247
535	285	246
536	285	246
537	286	245
538	286	245
539	286	244
540	287	243
541	287	243
542	288	242
543	288	241
544	289	241
545	289	240
546	289	240
547	290	239
548	290	238
549	291	238
550	291	237
551	291	236
552	292	236
553	292	235
554	292	234
555	292	233
556	293	233
557	293	232
558	294	231
559	294	231
560	294	230
561	295	230
562	295	229
563	296	228
564	296	228
565	297	227
566	297	227
567	298	226
568	298	226
569	298	225
570	299	224
571	299	224
572	300	223
573	300	222
574	300	222
575	301	221
576	301	221
577	302	220
578	302	219
579	302	219
580	303	218
581	303	218
582	303	217
583	304	216
584	304	216
585	305	215
586	305	215
587	306	214
588	306	213
589	307	213
590	307	212
591	307	212
592	308	211
593	308	211
594	309	210
595	309	210
596	310	209
597	310	208
598	311	208
599	311	207
600	312	207
601	312	206
602	313	206
603	313	205
604	313	204
605	314	204
606	314	203
607	315	203
608	315	202
609	316	202
610	316	201
611	317	200
612	317	200
613	317	199
614	318	199
615	318	198
616	318	197
617	319	197
618	319	196
619	320	196
620	320	195
621	320	194
622	321	194
623	321	193
624	322	193
625	322	192
626	322	192
627	323	191
628	323	190
629	324	190
630	324	189
